created_at,value_ultrasonic,value_matchface,hour
2024-11-01 08:26:18,1,0,8
2024-11-01 08:26:24,1,0,8
2024-11-01 08:26:31,1,0,8
2024-11-01 08:26:37,1,0,8
2024-11-01 08:26:43,1,0,8
2024-11-01 08:26:50,1,0,8
2024-11-01 08:26:56,1,0,8
2024-11-01 08:27:02,1,0,8
2024-11-01 08:27:09,1,0,8
2024-11-01 08:27:50,1,0,8
2024-11-01 08:27:57,1,0,8
2024-11-01 08:28:04,1,0,8
2024-11-01 08:28:10,1,0,8
2024-11-01 08:28:26,1,0,8
2024-11-01 08:35:23,1,0,8
2024-11-01 08:46:47,1,0,8
2024-11-01 08:46:49,1,0,8
2024-11-01 08:47:10,1,0,8
2024-11-01 08:48:41,1,0,8
2024-11-01 08:48:49,1,0,8
2024-11-01 08:48:52,1,0,8
2024-11-01 08:48:57,1,0,8
2024-11-01 08:48:59,1,0,8
2024-11-01 08:49:40,1,0,8
2024-11-01 08:50:53,1,0,8
2024-11-01 08:50:53,1,0,8
2024-11-01 08:50:54,1,0,8
2024-11-01 08:51:09,1,0,8
2024-11-01 08:52:14,1,0,8
2024-11-01 08:52:41,1,0,8
2024-11-01 08:52:50,1,0,8
2024-11-01 08:52:51,1,0,8
2024-11-01 08:52:52,1,0,8
2024-11-01 08:54:00,1,0,8
2024-11-01 08:54:02,1,0,8
2024-11-01 08:54:04,1,0,8
2024-11-01 08:55:17,1,0,8
2024-11-01 08:55:18,1,0,8
2024-11-01 08:55:41,1,0,8
2024-11-01 08:55:58,1,0,8
2024-11-01 08:55:59,1,0,8
2024-11-01 08:56:04,1,0,8
2024-11-01 08:56:27,1,0,8
2024-11-01 08:56:45,1,0,8
2024-11-01 08:56:45,1,0,8
2024-11-01 08:56:49,1,0,8
2024-11-01 08:56:55,1,0,8
2024-11-01 08:57:11,1,0,8
2024-11-01 09:02:42,1,0,9
2024-11-01 09:13:16,1,0,9
2024-11-01 09:13:38,1,0,9
2024-11-01 09:14:00,1,0,9
2024-11-01 09:14:23,1,0,9
2024-11-01 10:20:08,1,0,10
2024-11-01 19:07:18,1,0,19
2024-11-01 19:07:20,1,1,19
2024-11-01 19:08:51,1,0,19
2024-11-01 19:08:53,1,0,19
2024-11-01 19:09:07,1,0,19
2024-11-01 19:11:03,1,0,19
2024-11-01 19:11:59,1,0,19
2024-11-01 19:17:34,1,1,19
2024-11-01 19:17:36,1,0,19
2024-11-01 19:17:37,1,1,19
2024-11-01 19:17:54,1,0,19
2024-11-01 19:17:55,1,0,19
2024-11-01 19:18:07,1,0,19
2024-11-01 19:18:08,1,0,19
2024-11-01 19:18:35,1,0,19
2024-11-01 19:18:47,1,0,19
2024-11-01 19:18:49,1,0,19
2024-11-01 19:18:58,1,0,19
2024-11-01 19:43:11,1,0,19
2024-11-01 19:44:42,1,0,19
2024-11-01 19:44:43,1,1,19
2024-11-01 19:44:47,1,0,19
2024-11-01 22:46:12,1,0,22
2024-11-01 22:46:22,1,0,22
2024-11-01 22:46:32,1,0,22
2024-11-01 22:46:42,1,0,22
2024-11-01 22:46:52,1,0,22
2024-11-01 22:47:02,1,0,22
2024-11-01 22:47:13,1,0,22
2024-11-01 22:47:23,1,0,22
2024-11-01 22:47:33,1,0,22
2024-11-01 22:50:22,1,0,22
2024-11-01 22:50:32,1,0,22
2024-11-01 22:50:42,1,0,22
2024-11-01 22:50:52,1,0,22
2024-11-01 22:51:02,1,0,22
2024-11-01 22:51:12,1,0,22
2024-11-01 22:51:22,1,0,22
2024-11-01 22:51:32,1,0,22
2024-11-01 22:52:34,1,0,22
2024-11-01 22:58:59,1,0,22
2024-11-01 22:59:04,1,0,22
2024-11-01 22:59:06,1,0,22
2024-11-01 22:59:09,1,0,22
2024-11-01 23:04:14,1,0,23
2024-11-01 23:04:24,1,0,23
